sentiment,text
NEGATIVE,Luxor is a mediocre hotel. You get what you pay for. The price might almost be reasonable if it wasn't for resort fees. Registration took forever but the room was
POSITIVE,Delicious & great service! Something for everyone. I'm really white and invariably end up with some California roll variation wherever I go.  My companion was very Asian & had
NEGATIVE,"As dIvey as it gets. It's smokey, locals abound, and there are some characters. If you're looking for cheap beer and happen to be downtown, stop in, but bring your"
POSITIVE,Have stayed twice.  The first time we all woke up to very sore backs but the second time it was ok.  We love to have everything we want
NEGATIVE,"I am a bit upset with this place. The sushi is fantastic and I would love to have more of it, but I get denied EVERY time I call an"
POSITIVE,"We went back after being invited by the owner for a free pizza and wings, great service and food was great! I'm glad that the owner cared enough to invite"
POSITIVE,"There is pretty much nothing about this place that isn't awesome... It's cheap, there are constantly promotions, specials and coupons, and the people who own it / work there are"
POSITIVE,My kids LOVE  PS Yogurt! This is the perfect place to go to cool off after a hot day or just as an afterschool treat. The kids love picking
NEGATIVE,Awful service. They make you buy a 2 hour pass but the bus takes close to 10min at each stop and often doesn't let you get on because it is
NEGATIVE,"If it weren't for Yelp making me give it at least 1 Star, this place would get ZERO, that's right, ZERO stars.  I have had one bad experience after"
POSITIVE,I'm always rooting for coffee shops that aren't Starbucks.  I would rather put my money into keeping quaint shops with a friendly staff in business.  Jolta's Joltacchino's are
NEGATIVE,"Steak was overcooked, appetizer's never came out, and they screwed up my drink.Have eaten at other Strip House's and this one was by far and away the worst one of"
NEGATIVE,"In April, I ordered, and completely paid for two chairs. I was told it would be six weeks. As that time neared, I called and left a message for my"
POSITIVE,"We were out of state, but a family incident occurred several years ago in Tempe, AZ and we had to check that the incident was expunged from a family member's"
POSITIVE,Fletcher's always does an awesome job! Best prices in town.. And the friendliest staff ever!! You guys rock!!!
POSITIVE,"Must see!! arrive early if you can and if its NOT sold out, you maybe able to get a free upgrade in your seating."
POSITIVE,"I have seen Carrie for a couple of years now, and am consistently blown away! She is a great listener and always has good ideas for you, but if you"
POSITIVE,Good place for soft tofu soup.  The side dishes are good but always the same every time.  Prices are a little high but the place is spotless and
POSITIVE,We had a big party here sunday night. 18 or so of us. The owners were really nice and only charged us for the big room even though we used
NEGATIVE,"Meh. I only go to this location while I am at work because it is within walking distance. If time permits, I swing by the new location on Thunderbird and"
POSITIVE,I have been to BLT burger multiple times and every time it is amazing! the burgers are great and served anyway you want them i am a med rare man
POSITIVE,I was in desperate need of a haircut while visiting the area. Looked online and saw how many wonderful reviews this place had so I decided to give them a
NEGATIVE,"Terrible, terrible, terrible.  My girlfriend and I drive by this place daily, and  given that we recently moved into the neighborhood, we have been in search of quality"
NEGATIVE,"I have eaten here a few times and it's always been pretty good. However, this time I ordered the same basic pizza tomato basil. I got home with my pizza"
POSITIVE,"Got the new bacon and cheese stuffed crust, yumm it's pretty delicious! If you order online you can get an order of breadsticks or 2 liter of soda for free."
NEGATIVE,"Since moving to Glendale I have rarely encountered rude business owners, especially during economic downtimes. Apparently the owner (or at least who I'm guessing is the owner) of this establishment"
POSITIVE,"This place was AH-mazing!!! For someone who has celiac and has a hard time finding good gluten free food, it was delicious! I got the classic breakfast platter and substituted"
NEGATIVE,Malheureusement une mauvaise expérience pour ma part et quelques amis. Cela va à l'encontre de la bonne atmosphère que dégage ce restaurant/bar. Le problème venait du service qui n'était pas
POSITIVE,Solid place.  Good beer selection and a small brewery allows for some in-house beers that aren't bad on their own.  I'll stop by next time i'm in town.
POSITIVE,"Excellent atmosphere for a margarita and some yummy tacos. Right across the street from the Wynn and Encore, this place is an easy stop on your way out of town."
POSITIVE,"I had an awesome slice of the new York combo minus the olives add jalapeños instead and my boyfriend had his own 10"" personal. The cheese was nice and gooey"
POSITIVE,"Ich war extra dort, weil mir von dem leckeren Schokoladenmuffin als Dessert berichtet wurde. Ich wurde nicht enttäuscht! Die Wartezeit betrug fast 30 Minuten was etwas lang war aber der"
NEGATIVE,"Yep. Screwed up my order, too. Ordered and paid for a triple and got a double. I think they count on you being in a hurry so you don't complain."
POSITIVE,My boyfriend and I decided to check out this show the first night we were in Vegas after scoring some discount tickets. He'd seen it before but said they change
NEGATIVE,"I don't have high expectations when I stay off the strip. I do, however, expect a level of service at least sub-par to what I'm paying. This hotel is a"
POSITIVE,"Pretty darn good. Went here for a pre-laser tag lunch and beer. First off, the server had an excellently groomed 'tache. Nice 'tache bro. Very nice staff who engaged my"
POSITIVE,"Really nice place. I've only had lunch here, though I'd like to come back for their weekend brunch sometime.It's (relatively) small inside, but well-kept. As is common in Europe, the"
POSITIVE,I used to go to Cafe Carumba a few times a month when I worked in Old Town and I loved it! The food has a unique flavor and the
NEGATIVE,Horrible delivery service! I tried to order a combo meal for lunch today for obviously only 1 person and the lady told me i had to order at least 25$
NEGATIVE,I am hesitant to write a poor review for a restaurant as I have been part of the waitstaff in many establishments and know how easily a good night can
POSITIVE,"This place is a hidden gem in the desert. The food is amazing, the prices are reasonable for the amount and quality of the food you receive. My only complaint"
NEGATIVE,I thought Crossroads Farm lessons were good enough until I went to a different stable. The group lessons are not very effective and the tack is not in good shape.
NEGATIVE,This place had horrible service. I waited (sitting at the bar non-the-less) for about 10 minutes before the loser bartender got me a drink and a menu. The food was
NEGATIVE,"I went with my friends for 2 nights. We booked this hotel through an agency. When we check in, it takes us an hour because their computer froze. We booked"
NEGATIVE,This place is no longer in business. Sad to see it go.
NEGATIVE,I love Winchels Donuts.... At this location however they're almost always out of French Crullers and Bavarian Cream which are my favorites ...  because of this I usually get
NEGATIVE,If you are looking for a place to live- this is NOT it! I have never been treated so horribly by a management company in all of my years of
NEGATIVE,Rude and unhelpful service. A store clerk walked right past and looked me in the eye as I asked for help. She completely ignored me because I told my friend
NEGATIVE,The sushi is not bad here but it was a bit pricey for what you get. I ordered the salmon lover and spicy salmon but spicy salmon seemed to have
NEGATIVE,"Was hier rumsitzt kennt das Angebot, diese bunte Mischung an Gästen (U30) ist damit aufgewachsen. Jetzt wo etwas mehr Kohle in der Tasche ist darf ein Hamburger oder eine Wurst"
NEGATIVE,FYI if you smell something burning its your sandwich. A chicken deluxe and a captain cooler usually makes me happy EXCEPT when they burn the S out of it (see
POSITIVE,it is so incredibly easy to get dance-happy wasted in this friday night boogie spot.last night they offered $1 tootsie roll shots. i think we managed to get three in
NEGATIVE,I came here for the 1st time a couple months ago. I got the California benedict which I could barely stomach. It had spinach on it that was wilted and
NEGATIVE,Ok here is the deal $5.00 pizza you get what you pay for right? For a dollar more order the new thin crust pizza. I do not know what happen?
POSITIVE,This was a great dining experience. I had the Chilean sea bass and it was the best meal I have ever had. It was perfectly cooked. If you are in
NEGATIVE,The service is little to be desired.  Asking a waitress to place our order seemed to be putting her out. I do not know how this restaurant stays in
NEGATIVE,"This place is fine when you are talking about product quality, and variety and cost. They have a good selection of stuff and the shelves are packed. But WOW their"
NEGATIVE,Seriously the worst company to rent from! Do not do it!!! They change names all the time. They change locations to send your rent to all the time. They never
NEGATIVE,"I love the fact that Walmart is always open; however, the convenience is not worth it if I have to experience the environment at this Walmart. My wife and I"
NEGATIVE,i did not eat anything just beer and the beer prices and the place was good. One thing though Do not order a martini style drinks in multiple shots. A
NEGATIVE,"Sigh. I asked an employee to help me find hardware for curtains, and she pointed vaguely to a corner of the store and said, ""If we have it, it's over"
NEGATIVE,***short version make sure you receive grade A customer service and not just because you are going to buy a vehicle but because your opinion matters and you are a
POSITIVE,Overall liked the food but was disappointed that one of the few restaurants with a patio does not allow pets. They even use a dog in their logo. Will take
POSITIVE,i love this place but not on the weekends. if you want some popular toppings like strawberries I'd suggest going before 5 because they run out on busy nights. its
POSITIVE,My dad used to take me to sardellas after going to the dentist. Always good memories here. In glad to see they are be arching out. And the pizza is
NEGATIVE,Not sure what they are famous for except maybe bad food at high prices? Granted it is an airport so everything is pricey. I had a lobster bisque soup for
NEGATIVE,"This 4 star hotel??? (they claimed) is not on the strip, it's 3 miles off the strip, on the opposite side along the TRAILER PARK, a lot of prostitutes around"
NEGATIVE,"Harrah's is Old Vegas, meaning smokey and nasty.  They even have a statue of Trailer Park Trash right in the middle of the place, but you can tell by"
NEGATIVE,I had such high expectations for this place because I'm a Batali and Bastianich fan & a combination of our waiter telling us everything was amazing we each ordered 4
NEGATIVE,"I wish I could just get to the point in helping you avoid this place, but the experience was so bad I have to go into details!During our stay at"
POSITIVE,The staff were amazing! If you want quality tint done right this is the shop to be at!  Thank you again!
POSITIVE,"This is a genuine family, locals restaurant. Kid friendly. Small space and very nice staff. Menu if traditional Italian favorites. I had the special which was basically Pescadoei and very"
NEGATIVE,"Greasy food, dirty, & dingy atmosphere. Their ""Sweet Georgia's"" was nothing special at all. I've had way better. I was very disappointed after seeing all these good reviews on Yelp."
POSITIVE,Ordered the 3d shaggy dog cake for my daughter's birthday two days before our party. It was the cutest cake & so delicious.  It was made with whipped cream
NEGATIVE,"After 2 bites, I threw my chili dog out.   Seek out another place selling a quality dog (like Hebrew National or even Nathan's) instead of this.  Nice"
NEGATIVE,Not a resort! Nothing about this place is worthy of being called a resort. Won't be back!
POSITIVE,I am a local weatherman here in Vegas and I am always looking for a great spot for breakfast either on my days off or in between news casts. egg
NEGATIVE,I don't understand why an intelligent human being would go to this place and consume the stuff that this place sells. It is of less quality than the stuff they
NEGATIVE,"Die Bedienungen sind so unfreundlich , ich habe unabsichtlich ein Sauce umgeworfen , sie haben mir sogar nicht aufzutroken , ganz zu schweigen von ein neues bringen , preis ist"
POSITIVE,I got my hair done by Maria one time and have kept going to her ever since. I don't usually stick to one person but I trust her with my
NEGATIVE,Went for lunch today staff was very nice but the food was horrible.  Had a philly cheesesteak and it was so bland it wasn't funny.  Canned mushrooms were
POSITIVE,"This is my favorite Thai food place. I've been here more so for lunch, but have also had the occasional dinner. The food is always delish!"
NEGATIVE,Shady thieves that treat you like you are bothering them when you bring something in for repair. They try to upsell you into buying things you do not need and
NEGATIVE,Upon arrival staff had a very upbeat personality. Upon opening door to room found my online reservations didn't matter.(disappointment) got queens instead of king.On entry: Room was neat. Amenities were
POSITIVE,Would recommend for smaller kids. Toddlers and those under 8/10. There are two main areas to choose from. Turn right from the entrance and you get a more active/social hands
POSITIVE,Had a great time. The whole decor was awesome and Glen was very friendly and helpful. All of the staff was great.
POSITIVE,Rated the friendliest airport! It shows. I've had nothing but good experiences while in the airport. I like that the airport is switching to leasing space to local restaurants. The
POSITIVE,My partner and I showed up really late - at 9 p.m. but the service was great!  Friendly and accomodating!  The Bhendi Masala was the best ever and
POSITIVE,"If your staying at the palms you get free entry which is pretty coolLocated on the ivory tower of the palms casino, the ghost bar has a outside patio that"
POSITIVE,"A fun kitschy place to start off the night.! Funny named but great cocktails, that are not too expensive and are pretty strong for Montreal standards. You also get to"
NEGATIVE,Though the food is pretty good this place is by far the worst run restaurant  in Las Vegas. The hostess is as clueless as a baby gazelle who lost
NEGATIVE,"I go here a lot because I live nearby.  There are some things I like, but I don't understand the management's shrill and defensive attitude toward the customers. "
NEGATIVE,"Well gave it another shot!Not only did they get the order incorrect, and they would not honor their special, when I asked to speak to the manager they outright lied"
POSITIVE,Some of the best pizza and wings I can ever remember having. Once we took our first bite we ate like starving children. So good! Hot wings were perfect. Still
POSITIVE,"So, we have a picky daughter... it's always a challenge to find food for her when we go out. Chef at Feli's was gracious, and wonderful when he came out"
NEGATIVE,Prompt service. Clean. The orange juice was very fresh and tasty. Ordered 2 minutes ago a waffle with two eggs. / food arrived 6 minutes later. Very prompt. But have
NEGATIVE,Beware they don't fix things and there quote prices change so you will most likely pay double.
POSITIVE,I've been wanting to visit this place for some time. Always pass by it and finally did today and it was sooo worth it. I know these Mexican food places
POSITIVE,"Hardworking guy. Only been in business for 7 months and already had a stellar reputation,  which he deserves. Very friendly person and got to my location 5 minutes before"
NEGATIVE,"Although we would NEVER (EVER, EVER) purchase a timeshare (I'm against paying the yearly maintenance fee when I can book accommodations for less than this fee alone, plus I don't"
POSITIVE,Getting here in the middle of summer is madness!! My family and I arrived in July and on a day when everyone and there mother happened to be checking out.
NEGATIVE,"Here's the thing.  You're a ""celebrity chef.""  You're on TV and are brought in to judge cooking shows.  Maybe it's me but the food at your restaurant"
NEGATIVE,"This Courtyard Marriott singlehandedly cheapened my image of the Marriott brand. Slow draining tubs, worn out fixtures, renovation dust, musty smells, and chaotically placed hand written signs guiding to the"
POSITIVE,For the TS (Town Square) Location:Came in with a party of 5 and was seated right away. It was extremely busy for a Monday night so you know the place
NEGATIVE,"Although highly recommended by our hotel concierge, this place should have had us running for the door soon after entering. Greeted by a gaggle of micro-mini-skirted sweet young things, we"
NEGATIVE,I am a business customer and had a restaurant that needed a part by Saturday. I went into the UPS store to ship the part on Friday for overnight delivery
NEGATIVE,"Bad doctors, bad PT staff.  The doctors are a mob that want to make money.  Dr. Zoltan was curt and weird.  Dr. Armendariz was a jerk, PERIOD.The"
POSITIVE,"I have gone to this salon for a few years now for waxing, manicures, and pedicures. Other than 1 time having the water for my pedicure be way way way"
POSITIVE,I go to vegas about 6 times a year we usually stay on the strip but this time we were taking kids so decided to stay at the Grandview.(we had
NEGATIVE,"Overpriced breakfast, especially for a cafe. Most of the breakfast items ranged from about $15-20 on average and the quality of the food wasn't as great. With that price, I"
POSITIVE,"From the very first time my husband and I went to CubeSmart, we loved it.  We were given a tour by Patrick, and introduced to Jen.  Both of"
POSITIVE,"Went here last week, actually ive been here a few times before.  This is the best chinese restaurant in chinatown hands down.  The food taste so good and"
POSITIVE,"While we are new to the club, I am very impressed with the wide variety of classes and times offered and what appears to be great child care and my"
POSITIVE,"I was treated to dinner one night here, and was very impressed with everything about it. My water glass was always full, my wine seemed to be bottomless - from"
POSITIVE,"Great coffee, great character, fantastic location (for ASU folks - don't even THINK about trying to park a car here).  The food is good, though limited, and I'm not"
POSITIVE,"5 stars alone for the Alaskan king crab legs.  That's all I pretty much ate.  Due to the holiday weekend, we had to wait a bit to get"
NEGATIVE,I gave this dealer ship my loyal service for the last 5 years since moving here full time. When I called To schedule my oil change they claimed they were
NEGATIVE,First let me state I haven't had the food... but that's why I'm writing this review!I live a block from the Ten Penny and on this Saturday night around 8
POSITIVE,One of my favorite pizza spots. I don't dine in often (when we did the service was meh). Carryout is the way to go! Delicious pizza without the annoyance of
NEGATIVE,"This place is neither quick or care giving. You will wait forever, they refuse to give you an estimated wait time and when you finally see the 'doctor' , he"
POSITIVE,"We came here for breakfast every day while we were in Vegas, mostly because it was conveniently located so close to our hotel and we wanted to get to shopping"
POSITIVE,"I tried it as a recommendation from a friend,  great sushi, clean place, great food, great service too, plenty of parking"
POSITIVE,I absolutely love this Applebees been here numerous times over the past 10 years I own a business a couple blocks down the way and come here on my lunch
POSITIVE,"I volunteered here today for their Christmas event. Families in need brought their kids and their kids received Christmas gifts, selected from some clothing, took photos with Santa, received cookies,"
NEGATIVE,"All around bad experience.  Though i will give the server credit as she was very nice.  Wilted produce on the salads that had to be sent back, BBQ"
POSITIVE,Though I said I would not return my kids love the spicy chicken and convinced me to give it another chance.  Had a good meal with fast service on
NEGATIVE,Super crowded. Finally seated after 20 minutes. The host/hostess at the front were yelling names SO loud that it made it very unpleasant. When my food was served the extra
POSITIVE,"Great food, always fresh and innovative items on the menu. The staff is very friendly and attentive to what's going on. I also like that much of their produce comes"
NEGATIVE,"We got a coupon for a free hoagie roll sandwich, buy one get one free. I got the Italian roast beef, my husband got the meatball and an order of"
NEGATIVE,Let me start by saying one thing. I've only been into this location multiple times out of sheer convenience since I live far far away from my store of preference
NEGATIVE,"The good: it's the last little shop before Lake Mead. It's got bike tools, bike supplies and cold drinks for cyclists in that area.The bad: $9.75 for a water, a"
POSITIVE,"The beer garden here is simply AWESOME.They just do it right, great place to enjoy a big beer on a warm night.  Kind of out of the way, but"
POSITIVE,"Was a little disappointed that the buffet was only available at lunch, that said the food we ordered was reasonably priced and the quality was comparable to our favorite places"
POSITIVE,My little peanut has been going to Watch Me Grow for almost 1 year now (he started at 4 months old).All of the staff at Watch Me Grow is awesome!
NEGATIVE,"Pros: Fabulous rooms very spacious, High Ceilings, Clean, heavenly beds and linens, Jacuzzi Tubs in Room, Balconies with Amazing Views. Great Spa in terms of amenities (service could have been"
NEGATIVE,"When one walks into a cupcake shop they should be able to picture rainbows and bunnies and all things happy. Instead, I endured rudeness and verbal abuse and in a"
NEGATIVE,Went to this place several times when first opened. Good pizza and good service. The last two times was poor. Went yesterday (10/24) Called in a carry out. Rep stated
NEGATIVE,"Just as the stars suggest, I've experienced better. Not the worst I've had, but far from the best."
POSITIVE,"I've eaten here in the past and it wasn't that great.  This time around, I came back to eat here because my Hawaii friends wanted to eat here. "
POSITIVE,As close as you can get to a real New Orleans shrimp poboy in Las Vegas--and that's coming from someone who lived in New Orleans for a long time. 
POSITIVE,"Can not say enough good things about this place! Like many people below, Sail Inn is like a second home to me. I was really sad to discover it after"
NEGATIVE,"Well,  the pizza was ok. The sauce is really missing that extra seasoning,  very bland taste. The dough was good ( get it well done ),  the"
NEGATIVE,"I had never been to this bar, but some friends wanted to meet there so I did.     The outside looked better than the inside and the"
POSITIVE,We walked past this place a few times and it was always busy. We finally stopped in and tried the Nacho Combo. Great service and the nachos were fantastic. Will
POSITIVE,This a great place!  The wings and pizza are really good and at a fair price.  It's great for the family and it's close to home and they
POSITIVE,"* FRESH LOCAL INGREDIENTS made with love ** Serves same pizza as Pizzeria Bianco but has spacious seating *before going to the airport, we had two more hours to kill."
NEGATIVE,"First time in since they renovated the natural history section. Wow, it was actually shocking how much it has changed (and not for the better). I remember the museum as"
POSITIVE,"We like this place a lot.  It is close by, so it is convenient for us.  The atmosphere is casual.  Depending upon where you get seated, it"
POSITIVE,"Good quality ingredients, it is a bit pricey but you are getting what you pay for.  Food Quality seems consistent but the wait staff quality is not that great,"
NEGATIVE,Margaritas were so so. My burrito was in a very doughy tortilla that was inedible. Guacamole was good. Everything else was just average. Would not recommend to a friend.
NEGATIVE,Any one else having problems booking an appointment after purchasing the Groupon? I left two messages over a week ago and haven't heard back...hopefully this wasn't a giant scam!
POSITIVE,"A recent addition to the area, Arhoma's little sister, if you will. Bread, pastry, croissants/danishes, as well as a charcuterie and cheese counter. There is also a small area with"
NEGATIVE,Not too impressed. When I called to ask for the nearest parking garage the hostess didn't know and directed me to one almost a mile away when there was one
NEGATIVE,"This place is hit or miss. I've gone and had great food and service. And sometimes the waitstaff are incredibly rude, as some other commentators have mentioned. I ordered delivery."
NEGATIVE,"Never again, wrong parts in box. Killing me on time to save a few bucks."
NEGATIVE,"2nd club of the night, thank god 2nd, I was nice and drunk by the time I got here. The venue is blah, nothing exciting. The place had alot of"
NEGATIVE,"Giving one star to Cox Communications is going way overboard.  They are the most inefficient, unknowledgeable, irresponsible, insensitive company.  We have been customers 19 years and they still"
POSITIVE,"This is the 2nd time I've come here to get my Windows tinted & they ALWAYS do an amazing job...they also give you a free car wash with Tint but,"
NEGATIVE,Definitely my least favorite sushi restaurant due to quality of their food. First off my hot tea was lukewarm. Ordered about 5 orders of salmon and was very underwhelmed when
NEGATIVE,"I went in there around 8:00 am on Saturday, 19 Dec 2015 in hopes of having some breakfast but wasn't sure if they had food as it used to be"
POSITIVE,This was my first time here and I loved it. It's hidden away with no sign out front because everyone already knows about this place. If you want to be
NEGATIVE,"Worst experience in Vegas.  Came for a convention, checked in explaining that we were here for work.    The woman checking us in did not tell us"
POSITIVE,This is the first time I have ever been to a BWW and ordered take out.  Now it was packed in there because of football but I didn't have
NEGATIVE,Very disappointed with management.  I had the worst Bday ever in Vegas.  I arrived & to top it off they lied to me that they had plumbing problems
NEGATIVE,"Worst service I've had in a long time, waitress acted disappointed we weren't ordering alcohol. Our food was mediocre at best.  The salad tasted like a McDonald's type salad"
NEGATIVE,I want pickle on my sandwich.  It's not difficult or expensive.  Literally every other sandwich shop IN THE WORLD offers pickles as a FREE option.  The fact
POSITIVE,"5+ stars!!I'm always up for trying new places to eat, but after trying Old School Pizzeria last September, I'll avoid going anywhere else for pizza.  They have the most"
NEGATIVE,"I won't be back! Our food was beyond underwhelming! My husband ordered a medium rare prime rib, which arrived medium-well, almost to well done. It was very dry and overcooked."
POSITIVE,Looking for a cool place to go downtown before a class my fiance have to go to. We decided on the Roosevelt because 1. it has beer and 2. we
POSITIVE,The best buffet ever.We had followed everyone's advice and went right at 3:30 to pay the lunch price and eat the dinner food. We got extremely lucky because we were
NEGATIVE,Don't do it! I had a bridesmaid dress hemmed and not only is it still to long but the length is not even all the way around. One side is
POSITIVE,"I don't know what these Las Vegas folks are talking about, perhaps they need to travel out of the desert and cleanse their palate with soft water.Sorry to hate..but it's"
NEGATIVE,Drinks are expensive.  The salsa tastes like it came out of a bottle... because it likely did.
NEGATIVE,"Döner und Pizza essbar aber nicht schmackhaft. Um die Mittagszeit dauert es teils recht lange. Die wenigen Sitzplätze sind unbequem, der Laden sehr eng."
NEGATIVE,Not saying they can't cute hair but I when in on Sunday and got charged 35$ that last crazy idk if it was a bullshit price but will never go
POSITIVE,"I grew up LOVING Lion King. It was my all-time favorite Disney movie so of course, that's an automatic 3 stars for this show. The costumes and the singing gave"
POSITIVE,My first time ever trying In-N-Out! The location was minutes away from the strip and it was extremely busy! Right off the bat I was skeptical about staying and ordering
POSITIVE,i'm an east-coaster  transplanted in  southern california so to say I go through DD withdrawl on an almost daily basis is an understatement.  This DD could have
POSITIVE,"Anyone hating on an all you can eat does not appreciate the nature of the all you can eat.  You are here to double up, maybe triple up, in"
NEGATIVE,"Frank Sinatra on the sound system, The Godfather on the TVs...  spare me, please.  I particularly enjoyed the 10 or so photos of the owner with d-list celebrities"
POSITIVE,"Coffee:  The same nutty blend served at the SF Flagship and refilled even more astutely I particularly appreciated the low acidity, rich body, and availability of all 3 artificial"
POSITIVE,"So far, I am quite pleased. I knew my one dog would do great. He's super easy going and has been to daycare for years. My other dog, though, is"
NEGATIVE,"Cox Cable sucks! The speed is frequently slower than what I'm paying for, there are frequent internet outtages, and customer service takes forever. Finally, if you are like me and"
POSITIVE,Bretton is very professional and sincere about the work he does. His prices are reasonable. Bretton took my case head on and it was a difficult case. He never gave
NEGATIVE,"It's a shame my review get deleted after I rated it bad. I'm not sure who deleted it, but I was sick for a whole week from eating from a"
POSITIVE,Excellent pizza especially for the price. The garlic crust is very tasty.  Huge slices.
POSITIVE,Ok so first i want to say that this place is one of our usual spots for take-out. The young guy at the counter who basically runs the place is
POSITIVE,"While I'd like to slam this chain steak house, I just can't... Because the food was great! Wifey had a craving for prime rib, and we had been here before"
POSITIVE,Excellent.  Significant number of vegetarian items on the menu.  Great Service
NEGATIVE,"When I first went in, the lady who greeted me was super friendly. However, the girl who was doing my pedicure got the water running then ran off to the"
POSITIVE,"My husband, daughter and I decided to try this place out for dinner. We are vegetarians, so we are picky about where we go and what we eat. This restaurant"
POSITIVE,MTO is fantastic! Great food and great service! The manager David is awesome! They have both healthy food and comfort food! Great place for kids!  Check this place out
NEGATIVE,TERRIBLE!!! I went to this salon due to its close proximity to the waxing salon a couple doors down. I love the Euopean wax center but cannot say the same
POSITIVE,"Love Love Love TicozThe sangrias are awesome, I go for the Street Tacos and Coconut Ginger Curry Rice my two all time favorites. Staff is always friendly."
NEGATIVE,"The restaurant is actually a bar. Not a bar and grill, it is a bar, that decided to serve food during the daylight hours.  The food was completely unmemorable."
POSITIVE,"friendly and attentive wait staff. food was pretty good and authentic, good location, i don't have to drive all the way to China town to eat, so it's a plus"
NEGATIVE,My boy toy and I used to pick up a cheap pizza from here on the way home before play time. It was close to our homes and place of
NEGATIVE,"Not great.  Service was slow, food was disappointing; prices inflated. If you don't eat meat and are looking for a vegetarian-friendly option, stay away from the vegetarian pizza. "
POSITIVE,We stayed here when we were attending a friend's wedding. Check in was easy and they also have an M-rewards card that gives you points for spending money within the
POSITIVE,"I was very excited to try Spoonz but unfortunately I did not enjoy the food I ate. I ordered the half sandwich and cup of soup, and was disappointed with"
NEGATIVE,We stopped in here for a drink when we were strolling around the North Shore. Now I know to keep walking and go somewhere else! Having my server be objectified
POSITIVE,This place rocks with the best coffee ever! It's a pleasure to swing through this place and order a well brewed coffee. I've been to several across the valley and
NEGATIVE,Don't believe it.  Their add says same day service no problem. They DO NOT do same day service!! False advertising!!
NEGATIVE,"Have a margarita here but don't eat food. My margarita wasn't bad, but all I ordered were chips and NO salsa...seriously? I dumped Cholula all over my stale chips. My"
NEGATIVE,"This place is delish but just wish the portions were bigger... I didn't order tapas which I can understand are smaller portions, I ordered a full size meal and left"
NEGATIVE,"From its rancid salad bar, to its out-of-stocks on advertised sale times, to its bathrooms that make you long for a truck-stop port-o-potty, South Park's Earth Fare is an embarrassment"
POSITIVE,"Great island food! I really enjoyed eating there.  The service is great, the portions are definitely island style, and the food tastes yummy.  If you're craving island food,"
NEGATIVE,"I usually come here before a movie at Sundance, but after my experience on Sunday 4/6/14, this will be my last visit to Sushi Muramoto.Sushi Muramoto and King Muramoto have"
NEGATIVE,Tonight I had the prime rib.  Our server told me they only had medium left. Really? We got here at 5:30pm and they are out of medium rare?My prime
POSITIVE,Quick response.  Professional and courteous staff.  They responded very fast when we had an emergency.  Good solid company.
NEGATIVE,"I'm a foodie, so going to Giada's was going to be a super special treat for me.  It wasn't.  Our first impression was excellent.  Seated promptly, very"
POSITIVE,"After work place for a beer (decent number of drafts) and some bar grub.  Had some fairly decent Mahi tacos.  Service was good, which should be expected but"
NEGATIVE,"Circus Circus has not changed much since 1995, except that the buffet is $15.95 now instead of $4.95 back then!  The decor is stuck in the 1980's and the"
POSITIVE,I was here for my friend's bachelorette party and they were the best! Server was awesome and the manager helped get my friend and on stage. Going to be back!!
NEGATIVE,"I DO NOT RECOMMEND this place, with a passion.I went to celebrate a birthday with my wife and we planned to have dinner at BandB and Atelier Robuchon the next"
NEGATIVE,Absolutely the worst service ever!!!  I waited 18 minutes at the drive thru on sunday afternoon/evening.  I was looking around for the camera because I thought someone was
NEGATIVE,"The WORST CUSTOMER SERVICE EVER. 1.5 Hours after I ordered the pizza, still nothing... Called... ""Oh we don't have the right address"" great, here's the right address,... 20 minutes later,"
POSITIVE,"Nice little restaurant with great service and excellent food. When you go there have the Greek Fries, you can't go wrong. But if you try the Greek Nachos they won't"
NEGATIVE,It is closed.
POSITIVE,"Great place to get a HUGE variety of electronics, appliances, toys, movies, accessories, they pretty much have everything you cant think of here.  I love going here when I"
NEGATIVE,"This is my first time at the Luxor and it's not good so far. When we first got here, our rooms weren't ready and they said it would take a"
NEGATIVE,"Over priced and dissappointing. We had reservations and were taken to our table on time, unfortunately the table they took the four of us to was a booth along the"
NEGATIVE,We r from out of town....saw the reviews & thought we would give it a try!!! Pizza was the worst!  Ordered margherita pizza 2 go...had one (1) piece of
POSITIVE,"OK Guys ... Bravo. If you like steak, sorry Meat and Lobster AND an amazing wine list...this is the spot. Dont look for fancy stuff. just a high priced meat"
POSITIVE,Easy to get to- great menu- shiek looking but not overdone.  Stop by when you are in Vegas!
POSITIVE,If you love BBQ and love to BBQ this place is a place to check out. Every one has been giving it a 5 star rating and a 4 star
NEGATIVE,"Eh, not my favorite. The crowd is a smattering of college kids as well as older folks celebrating their 10th? 11th? 12th? 21st birthday anniversary. It's a strange combination.Drinks are"
NEGATIVE,The only reason I'm giving it 2 stars is because the room service was really good. Let's start from the beginning first we stood in a line for over an
POSITIVE,"Found this shop right in the heart of Old Town Scottsdale (which is right off of Scottsdale Road) and my appointment was with Mateo, who by the way did an"
POSITIVE,Ramsay has a burger joint and a steak joint within the same city! Brave move good sir! I really enjoyed this place and this place isn't as overpriced as most
NEGATIVE,Came in last night (Saturday) for a slice. 15 minutes and $5 for a slice?! Egads. Ya'll gotta do better
POSITIVE,"The perfect balance between sticky floors and proper. A real ale house with phenomenal pricing. My Airbnb was right next to this spot, and I found it hard to leave."
